  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -60.0  315 155.60   9.48 14.2   4.81  1.6    -.7    .2 15.8    .4  7.1    7.2   1.4 11.6    .5  9.6
 030 -60.0  306 156.92   9.85 13.7   4.87  1.0   -3.5   1.8 20.9    .4  2.9    7.0   2.2 15.0   1.3  6.5
 030 -60.0  297 157.68  10.60 13.7   4.85   .2   -4.7   1.8 20.4    .8  1.5    6.2   3.1 16.1   1.0  6.0
 030 -60.0  288 158.48  11.24 14.0   4.92  -.6   -7.6   2.3 17.6    .7  2.8    4.5   1.9 17.9   1.1  4.3
 030 -60.0  279 159.58  12.58 13.8   4.90  4.1   -8.3   2.6 14.6    .5  4.0     .4   1.9 18.8   1.4  4.6
 030 -60.0  270 159.49  12.95 14.1   6.94  3.6   -7.5   2.4 14.2    .7 13.8   -1.9   1.1 16.7   1.2  6.0
 030 -60.0  261 159.56  12.83 14.1   7.14  3.5   -4.3   1.2 13.5    .8 13.0   -2.9   1.9 14.6    .5  6.0
 030 -60.0  252 159.36  12.68 14.1   6.04  3.1   -3.0   1.0  8.4    .5 11.6   -2.3   2.5 13.7    .9 15.7
 030 -60.0  243 159.45  11.60 14.2   5.00  2.4   -2.3    .9  5.7    .7  9.4   -1.4   2.5 15.2   1.2 14.5
 030 -60.0  234 159.67  10.70 14.9   5.84  1.3   -2.7   1.1  2.3   1.0  9.0   -1.3   2.0 18.3   1.5 14.2
 030 -60.0  225 158.14  11.49 14.9   5.72  1.2   -4.7    .8 10.8    .6 10.4   -4.0   2.3 19.8   1.9 14.7
 030 -60.0  216 158.26  11.92 14.7   5.67   .6   -6.3   1.6 11.9    .7 13.6   -6.0   1.4 17.9   2.1 15.6
 030 -60.0  207 159.31  12.19 14.4   5.74   .1   -5.9    .9  4.2    .6 13.9   -6.0   1.3 14.2   1.8 16.1
 030 -60.0  198 158.78  11.77 14.5   5.85 11.4   -4.6   1.0  4.5    .4 10.9   -3.4   1.2 11.0   1.1 16.6
 030 -60.0  189 158.32  10.61 14.5   5.31  4.9   -3.3   1.0  4.3    .7 10.9    -.4    .9 10.1    .7 15.6
 030 -60.0  180 157.72   9.87 14.3   4.89  4.9   -2.8   1.1  3.1    .5 11.4    2.4   1.2  9.0    .4 15.3
 030 -60.0  171 157.08   9.82 14.4   4.86  4.1   -1.6    .7  4.7    .3 10.2    3.4   1.0  8.7    .4 16.4
 030 -60.0  162 156.99   9.77 14.4   4.85  3.4     .0    .8  6.4    .3 21.6    3.4   1.0  9.9    .4 15.7
 030 -60.0  153 157.53   9.11 14.6   4.75  2.7     .4    .9  8.6    .3 11.7    2.2    .7  9.9    .5 15.4
 030 -60.0  144 158.24   8.52 14.7   4.94  2.5     .8   1.2  9.9    .4 14.7    1.8    .3 11.8    .5 15.8
 030 -60.0  135 158.04   9.48 14.8   5.00  1.7    2.4   1.1  8.7    .4 15.3    2.4    .5 16.0    .3 15.4
 030 -60.0  126 156.45  10.46 14.7   4.50  1.2    2.9   1.0  7.7    .4 16.0    3.4    .8 14.2    .2 14.9
 030 -60.0  117 155.55   9.94 14.9   4.31   .8    2.1   1.2  8.6    .4 16.3    4.1   1.3 13.8    .2 15.7
 030 -60.0  108 155.83   9.29 15.0   4.14   .0    2.6   1.5  8.7    .2 15.0    4.0   1.3 14.3    .2 14.2
 030 -60.0   99 155.38   9.59 14.8   3.87 11.4    3.9   1.3  7.2    .1 21.7    3.7   1.2 13.0    .4 15.0
 030 -60.0   90 154.56   9.24 14.7   4.04  5.3    3.5   1.3  5.7    .3 21.7    4.5   1.1 10.6    .6 16.5
 030 -60.0   81 153.76   8.24 14.9   3.98  4.9    2.9    .9  8.1    .3 23.9    5.1    .6  8.5    .8 16.9
 030 -60.0   72 153.67   8.06 14.8   4.12  4.0    4.8   1.7  6.2    .2  2.2    5.6    .6  7.5    .6  3.7
 030 -60.0   63 154.05   8.13 14.6   4.65  3.2    5.7   2.4  5.0    .9 20.0    7.4   1.5  6.8    .9  2.5
 030 -60.0   54 154.17   8.58 14.7   4.56  2.6   -1.3   1.0 23.6   1.0 20.6    7.8    .4  5.7    .4   .3
 030 -60.0   45 155.36   9.23 14.5   4.67  2.0   -5.4   2.4 18.4    .5  2.5    5.0   1.8 18.8    .4 20.8
 030 -60.0   36 156.92  10.25 14.3   4.63  1.5   -4.3   2.4 15.1   1.0  2.3    1.1   3.0 18.5    .5   .7
 030 -60.0   27 157.30  10.89 14.5   4.74  1.2   -2.7   1.8 12.8    .5  1.2    -.1   2.2 17.4    .7  1.6
 030 -60.0   18 157.73  10.65 14.6   4.69   .3   -1.8   1.0  8.9    .3 23.3    -.3   1.8 16.0    .5  1.9
 030 -60.0    9 158.27   9.19 14.7   4.34 12.0    -.4   1.5  7.5    .4  1.0     .4   1.4 16.4    .8  2.9
 030 -52.5  360 167.83  14.27 15.5   5.13  4.5    1.5    .8  7.3    .2  1.6   -2.3   1.5 17.4    .3  4.4
 030 -52.5  351 167.81  14.23 15.6   5.23  3.8    1.4   1.0  7.4    .3  1.9   -1.9   1.6 -4.4    .3  5.1
 030 -52.5  342 167.51  14.69 15.6   5.27  3.2    2.6   1.4 10.0    .4  1.0   -1.4   1.2 -2.9    .4  5.5
 030 -52.5  333 166.73  14.28 15.8   4.80  2.6    1.8   1.3  8.0    .3   .3     .1   1.0 -3.7    .4  6.4
 030 -52.5  324 164.82  14.96 15.3   5.36  1.8    6.0   3.5  5.5   1.5 10.0    4.4    .4 11.3    .7  3.1
 030 -52.5  315 165.66  13.85 15.3   5.28  1.4    2.5   4.2  2.4   1.6  9.1    9.1   2.5  4.5    .9  1.9
 030 -52.5  306 166.54  13.49 15.1   5.03   .8   -2.7   3.3  1.2   2.0  8.1   10.2   5.1  2.7   1.1 10.2
 030 -52.5  297 166.65  13.97 15.1   5.20  -.3   -4.9   2.3 21.2    .1  7.1    9.5   6.7  2.4   1.7  9.2
 030 -52.5  288 167.43  13.80 15.0   5.66  -.5   -6.3   3.0 17.5    .9  3.8    8.2   6.5  2.9   1.6  8.7
