  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -60.0 198 154.03  7.11 15.5  3.83  2.9    8.1  3.9  9.6   .1  7.2  -10.9  3.4 15.3   .3  9.1
  30 -60.0 189 154.10  8.36 15.3  4.21  2.8    8.4  2.8 11.4  1.0  8.4  -10.3  1.7 19.3  1.1 11.6
  30 -60.0 180 154.58  8.50 15.2  3.91  2.6    8.1  1.7 11.5   .8 11.3   -9.4  1.7 14.3   .8  2.6
  30 -60.0 171 154.95  8.77 15.2  3.88  2.8    8.7   .6  2.0  1.6  9.1   -9.2  2.7 20.1  1.5 11.5
  30 -60.0 162 155.30  8.56 15.2  4.11  2.6    8.6  2.9  8.9  1.2  3.1   -7.9  1.4  1.8  1.2  6.1
  30 -60.0 153 154.64  8.94 15.4  4.03  2.9    8.6  2.3 12.4  3.2  9.4   -4.3  1.3  5.6  3.1   .2
  30 -60.0 144 153.17  7.58 15.2  3.95  2.9    6.5  1.6 22.9  3.1  3.5    -.7  3.5  6.8  3.3  6.3
  30 -60.0 135 152.56  6.41 14.9  3.82  3.0    3.7  3.5  5.5  2.5 10.8    3.5  3.3 11.1  2.5  2.0
  30 -60.0 126 153.41  6.68 14.6  3.59  2.8   -1.0  2.7  8.7   .7 11.9    6.3  2.4 16.3   .9  2.9
  30 -60.0 117 155.56  8.67 14.8  3.96  2.4   -5.0  2.0 20.9  2.4  1.0    1.5  2.9  1.3  2.0  4.4
  30 -60.0 108 155.76  7.91 14.6  4.85  2.6   -5.6  2.9  1.0   .8  1.7    -.1  2.8  5.6   .7  6.6
  30 -60.0  99 156.08  9.81 14.7  4.58  2.3   -4.9  1.7  7.6  1.3 11.5   -5.4  1.2 12.8   .8  1.3
  30 -60.0  90 156.19  9.37 14.7  4.85  2.6   -2.8  2.7 13.6  3.1  3.2   -5.2  2.3 18.1  2.3  6.8
  30 -60.0  81 156.49 10.72 14.8  5.03  2.6    1.7   .7 17.8  1.3   .3   -5.1   .6 19.8  1.3  2.5
  30 -60.0  72 156.35  9.93 14.8  4.40  2.7    4.7   .7  2.7  1.7  4.8   -3.6   .2 21.2  1.8  7.8
  30 -60.0  63 155.48  9.76 14.8  4.50  2.7    5.3  1.8  4.3   .6  9.4   -1.8  1.5  6.9   .2  1.6
  30 -60.0  54 154.78  9.23 15.0  4.56  2.7    3.0  2.0  7.0   .9  6.8    -.7  1.9 11.3  1.3  9.4
  30 -60.0  45 154.63  8.27 15.0  4.06  3.0    1.6  2.8 11.5   .7   .9   -4.1  2.4 17.0   .3  4.3
  30 -60.0  36 154.26  8.18 15.1  4.16  2.8    3.2  1.3 15.0   .6  6.6   -5.1  1.3 19.5  1.4 10.9
  30 -60.0  27 154.16  8.13 15.1  4.27  2.8    5.8   .8  6.8   .9  1.0   -3.7  1.0 13.7   .9  2.2
  30 -60.0  18 153.21  8.09 15.2  4.04  2.8    7.3  1.8  9.2   .4 11.5   -2.3  1.5 16.0   .6  1.0
  30 -60.0   9 153.09  7.61 15.2  4.12  3.0    8.5  1.3  9.9  1.7  7.5   -1.2   .4 17.7  2.1 10.8
  30 -52.5 360 164.29 12.26 15.8  4.60  2.3    2.4  1.7 10.6  1.5  1.9   -1.1   .9 15.6  1.0  3.7
  30 -52.5 351 164.67 11.99 15.8  4.42  2.3    3.0  1.2 13.3  2.6  1.3   -4.9  1.2 10.5  2.2  3.2
  30 -52.5 342 164.39 12.43 15.9  3.86  2.2    6.2  1.6 11.0  2.9  2.8   -3.3  2.5 14.0  2.2  5.2
  30 -52.5 333 164.26 12.76 15.8  4.30  2.2    7.0  2.6 11.4   .8   .8   -5.7  2.1 17.0   .7  2.2
