  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  10 -22.5 198.08   .84 18.9   .25  2.7 2.310E+02   .69  2.0   .40  9.5 6.169E-03
  30   5 -22.5 206.24  1.87 18.1   .46  3.6 3.761E+02   .66  4.7   .41  9.4 9.649E-03
  30   0 -22.5 214.39  1.87 18.1   .46  3.6 6.009E+02   .66  4.7   .41  9.4 1.483E-02
  30  80 -15.0 130.73 12.03 16.7  4.94   .3 2.328E-02 12.25 22.5 14.04   .1 9.438E-07
  30  75 -15.0 134.88 12.02 19.5  5.61 11.7 4.901E-02 10.16  5.3 12.14   .0 1.932E-06
  30  70 -15.0 137.12 12.92   .2  7.29 11.3 1.015E-01 10.20  7.7  9.81   .2 3.938E-06
  30  65 -15.0 139.31 14.49  4.0  6.99   .1 2.078E-01 10.13 10.4  6.98   .3 7.945E-06
  30  60 -15.0 139.80 17.06  7.6  4.74   .4 4.230E-01  9.24 14.0  4.31   .4 1.615E-05
  30  55 -15.0 137.60 14.81 11.4  4.01 11.0 8.650E-01  8.85 17.6  3.07   .6 3.347E-05
  30  50 -15.0 137.20 11.27 15.7  3.62   .3 1.779E+00  7.68 20.7  1.98  1.5 6.879E-05
  30  45 -15.0 139.41  8.41 19.9  1.84  2.4 3.634E+00  5.58 23.3  1.18  2.5 1.380E-04
  30  40 -15.0 145.34  6.06 22.5  1.17  2.5 7.260E+00  3.51  1.6   .87  2.7 2.644E-04
  30  35 -15.0 153.23  5.06   .5   .81  2.6 1.404E+01  2.40  4.5   .72  3.1 4.848E-04
  30  30 -15.0 161.91  3.82  3.5   .59  2.9 2.624E+01  1.89  8.5   .63  8.6 8.575E-04
  30  25 -15.0 171.78  2.90  7.4   .52  3.6 4.733E+01  1.37 12.0   .57  8.9 1.458E-03
  30  20 -15.0 181.01  1.99 11.0   .40  4.2 8.266E+01  1.03 14.7   .52  9.2 2.416E-03
  30  15 -15.0 190.45  1.38 14.0   .31  4.8 1.404E+02   .90 17.0   .48  9.3 3.901E-03
  30  10 -15.0 199.81  1.33 15.9   .29  4.2 2.326E+02   .79 20.0   .46  9.4 6.159E-03
  30   5 -15.0 209.29  2.65 17.3   .44  4.1 3.768E+02   .71  2.5   .48  9.5 9.525E-03
  30   0 -15.0 216.37 10.47 17.0  2.26  2.6 5.961E+02  1.28  4.3   .34  9.5 1.461E-02
  30  80  -7.5 130.87 14.13 16.4  5.11   .6 2.320E-02 13.13 20.4 14.12 12.0 9.401E-07
  30  75  -7.5 134.74 14.02 19.2  5.64 11.4 4.888E-02 11.83  4.1 12.43 12.0 1.931E-06
  30  70  -7.5 137.41 14.78 23.4  7.21 11.1 1.013E-01 12.00  7.3 10.30   .1 3.929E-06
  30  65  -7.5 140.35 16.60  3.5  7.28 11.8 2.070E-01 11.45 10.3  7.61   .4 7.865E-06
